        	acceptance	adoration	affection	aggravation	agitation	agony   	alarm   	alienation	amusement	anger   	anguish 	annoyance	anticipation	anxiety 	apprehension	arousal 	attraction	aversion	bitterness	bliss   	compassion	contempt	courage 	defeat  	dejection	delight 	depression	desire  	despair 	disappointment	disgust 	dislike 	dismay  	displeasure	distress	dread   	eagerness	ecstasy 	elation 	embarrassment	enthusiasm	envy    	euphoria	exasperation	excitement	exhilaration	fear    	ferocity	fondness	fright  	frustration	fury    	gaiety  	gladness	glee    	gloom   	glumness	grief   	grouchiness	grumpiness	guilt   	happiness	hate    	homesickness	hope    	hopelessness	horror  	hostility	humiliation	hurt    	hysteria	infatuation	insecurity	insult  	interest	irritation	isolation	jealousy	jolliness	joviality	joy     	jubilation	liking  	loathing	loneliness	love    	lust    	melancholy	misery  	mortification	neglect 	optimism	outrage 	pain    	panic   	passion 	pity    	pleasure	pride   	rage    	rapture 	regret  	rejection	relief  	remorse 	resentment	revulsion	sadness 	satisfaction	scorn   	shame   	shock   	sorrow  	spite   	suffering	surprise	sympathy	tenderness	tenseness	terror  	thrill  	torment 	triumph 	uneasiness	unhappiness	vengefulness	woe     	wonder  	worry   	wrath   	zeal    	zest    	
anguish 	0.164207	0.179942	0.161367	0.205416	0.132141	0.236132	0.217145	0.219854	0.196222	0.178082	1.000000	0.211502	0.192546	0.162113	0.194518	0.209284	0.144029	0.091983	0.179617	0.095969	0.193124	0.156883	0.213958	0.163415	0.243451	0.180606	0.143844	0.145413	0.285442	0.221607	0.105989	0.179644	0.199907	0.154888	0.156589	0.182569	0.216693	0.123747	0.184109	0.122054	0.213850	0.156419	0.191414	0.206221	0.208475	0.229533	0.147384	0.187466	0.155463	0.143724	0.205252	0.166108	0.174478	0.168295	0.094065	0.308420	0.192389	0.156872	0.112597	0.171272	0.138446	0.145322	0.165154	0.123261	0.170593	0.229681	0.110641	0.176984	0.163276	0.247831	0.124446	0.131622	0.188138	0.189376	0.184516	0.180188	0.158245	0.124481	0.114724	0.141564	0.232724	0.189278	0.141414	0.195655	0.181210	0.158034	0.191906	0.223441	0.181316	0.193972	0.161664	0.130503	0.197178	0.187752	0.083658	0.203683	0.122103	0.174149	0.125837	0.199223	0.202791	0.146993	0.134751	0.138040	0.158291	0.188174	0.197048	0.329622	0.123028	0.159660	0.175827	0.253764	0.270195	0.183408	0.255010	0.199328	0.151921	0.246345	0.172915	0.162224	0.233552	0.230268	0.164908	0.125608	0.214360	0.227781	0.222583	0.179091	0.134401	0.141734	0.137312	0.202361	
annoyance	0.156639	0.209556	0.157960	0.413932	0.230523	0.108027	0.174055	0.170436	0.229502	0.313003	0.211502	1.000000	0.224973	0.180000	0.175392	0.151947	0.127219	0.093683	0.189467	0.076539	0.149646	0.167302	0.133883	0.121753	0.185759	0.163186	0.123912	0.119382	0.165895	0.157077	0.128941	0.163365	0.177121	0.174551	0.118685	0.105804	0.170831	0.084049	0.157574	0.109477	0.170715	0.122325	0.114384	0.373727	0.187729	0.209216	0.142330	0.181741	0.139249	0.149713	0.240395	0.199331	0.142746	0.159119	0.046895	0.148041	0.072062	0.103056	0.404357	0.334790	0.110927	0.098267	0.149841	0.092231	0.111175	0.164038	0.083953	0.185379	0.117141	0.185790	0.106092	0.107996	0.147465	0.154966	0.180271	0.403838	0.129331	0.101090	0.063958	0.135156	0.185485	0.137171	0.115488	0.142202	0.107021	0.114586	0.141043	0.109471	0.126633	0.131319	0.091524	0.127696	0.179944	0.098097	0.099452	0.145083	0.106506	0.130974	0.115878	0.238242	0.104338	0.101406	0.116824	0.129557	0.153186	0.197357	0.214036	0.233548	0.111343	0.100742	0.128981	0.154780	0.170293	0.191794	0.118549	0.220991	0.127398	0.181321	0.166222	0.121972	0.141234	0.157234	0.131281	0.124308	0.177863	0.178474	0.123737	0.130998	0.107494	0.151146	0.104256	0.138431	
anticipation	0.166444	0.193518	0.123282	0.175019	0.145520	0.107541	0.188937	0.148054	0.211018	0.176579	0.192546	0.224973	1.000000	0.156767	0.175904	0.174891	0.131689	0.100651	0.142343	0.122547	0.147872	0.161811	0.161257	0.117608	0.178345	0.173074	0.113208	0.137179	0.166473	0.142270	0.170480	0.141646	0.158085	0.165166	0.125918	0.145075	0.185238	0.093382	0.201587	0.087579	0.192710	0.154208	0.132792	0.186781	0.218844	0.215856	0.198096	0.172833	0.117308	0.283231	0.154360	0.129119	0.147067	0.162027	0.051050	0.172426	0.092354	0.103598	0.079914	0.135721	0.117807	0.122686	0.175398	0.089178	0.180887	0.148411	0.092505	0.146882	0.118772	0.150595	0.106039	0.130229	0.138725	0.129524	0.211034	0.136849	0.121808	0.120383	0.075303	0.126177	0.232305	0.151949	0.115418	0.146676	0.126547	0.164208	0.151195	0.150751	0.114427	0.125099	0.109397	0.116977	0.166176	0.124993	0.072982	0.167103	0.125119	0.150825	0.118867	0.178637	0.141655	0.090920	0.128682	0.127133	0.156434	0.152754	0.207956	0.279740	0.124943	0.105496	0.113017	0.181735	0.181829	0.174051	0.117753	0.231969	0.128256	0.181237	0.184952	0.145675	0.215539	0.146769	0.138057	0.118260	0.140159	0.154265	0.126214	0.172627	0.133378	0.097752	0.118516	0.154459	
anxiety 	0.123483	0.086730	0.115625	0.101378	0.083023	0.077520	0.167613	0.153654	0.082314	0.186565	0.162113	0.180000	0.156767	1.000000	0.264336	0.115824	0.104686	0.096770	0.123524	0.081394	0.098771	0.129952	0.125909	0.099508	0.115452	0.105258	0.236669	0.110524	0.102039	0.118879	0.115882	0.101812	0.119180	0.099685	0.130893	0.158767	0.124314	0.094085	0.147055	0.076922	0.109202	0.120540	0.128771	0.093674	0.128501	0.132850	0.235131	0.110941	0.050088	0.203527	0.137691	0.102234	0.068384	0.066518	0.055545	0.093189	0.059426	0.129306	0.060884	0.116899	0.105263	0.113771	0.102045	0.110995	0.111835	0.152641	0.086492	0.127773	0.091299	0.144539	0.122831	0.086992	0.145347	0.111657	0.104245	0.119508	0.085463	0.120885	0.069040	0.066195	0.117819	0.097841	0.078096	0.118302	0.122975	0.129938	0.107543	0.106153	0.116266	0.164878	0.175331	0.094685	0.106073	0.113474	0.327367	0.126709	0.102781	0.089186	0.108183	0.114479	0.086095	0.097657	0.099441	0.142062	0.085442	0.131708	0.105427	0.142607	0.087353	0.113712	0.111848	0.162363	0.113351	0.119712	0.124608	0.101713	0.090599	0.108681	0.178028	0.151911	0.117239	0.092852	0.084672	0.197450	0.097045	0.097965	0.068378	0.122872	0.201375	0.083839	0.078265	0.121471	
apprehension	0.138005	0.145651	0.119535	0.162025	0.134013	0.085227	0.201337	0.139458	0.218964	0.116447	0.194518	0.175392	0.175904	0.264336	1.000000	0.154922	0.094991	0.093371	0.139249	0.054124	0.125634	0.127898	0.137674	0.142360	0.194819	0.146717	0.106584	0.118577	0.188259	0.134706	0.093522	0.126914	0.255504	0.112111	0.117340	0.258757	0.166738	0.074410	0.179114	0.112052	0.134121	0.117658	0.136303	0.151687	0.182497	0.206436	0.219818	0.134959	0.123209	0.236300	0.131282	0.109506	0.093771	0.153895	0.044488	0.141433	0.074173	0.104049	0.096669	0.135575	0.105436	0.111324	0.135580	0.084567	0.152562	0.169600	0.085277	0.139356	0.137041	0.181525	0.104023	0.099503	0.162243	0.154908	0.136853	0.118778	0.104505	0.110382	0.065731	0.114022	0.227305	0.111007	0.102489	0.180369	0.107994	0.120887	0.130988	0.111836	0.141234	0.184446	0.124417	0.114936	0.130425	0.154257	0.158480	0.129869	0.096889	0.142459	0.110201	0.142247	0.110775	0.088864	0.098362	0.107588	0.130920	0.130670	0.174782	0.183480	0.095346	0.118881	0.101766	0.192265	0.158279	0.139076	0.132138	0.161407	0.108892	0.158248	0.296856	0.152775	0.132972	0.166424	0.111879	0.350695	0.148933	0.168895	0.114356	0.136149	0.199409	0.091437	0.080449	0.159358	
arousal 	0.148171	0.151340	0.153741	0.176709	0.103199	0.132107	0.216878	0.176419	0.132053	0.119966	0.209284	0.151947	0.174891	0.115824	0.154922	1.000000	0.140645	0.062498	0.134283	0.136798	0.204625	0.118039	0.214417	0.161601	0.152127	0.161980	0.118963	0.142264	0.128844	0.167562	0.108140	0.183459	0.133261	0.173347	0.211292	0.144352	0.198317	0.139252	0.182955	0.090995	0.197803	0.162396	0.211411	0.151572	0.195144	0.194739	0.135612	0.144735	0.129428	0.127676	0.177631	0.155407	0.159563	0.115408	0.087867	0.213993	0.124739	0.111230	0.077744	0.136221	0.116990	0.145061	0.140481	0.094607	0.171932	0.130775	0.095482	0.135007	0.121675	0.161742	0.120524	0.143414	0.169755	0.174749	0.180499	0.166967	0.150782	0.111446	0.119756	0.098529	0.169394	0.150815	0.157157	0.171292	0.168956	0.164465	0.174256	0.268353	0.126227	0.206610	0.128479	0.123279	0.142285	0.150754	0.073330	0.191137	0.127047	0.193039	0.117472	0.176657	0.240173	0.134200	0.129303	0.146595	0.122507	0.153625	0.155889	0.232542	0.121301	0.134180	0.132029	0.264050	0.210444	0.154361	0.152780	0.165629	0.170109	0.229089	0.134032	0.139246	0.268898	0.169411	0.157088	0.115614	0.158981	0.183535	0.116580	0.197455	0.129023	0.113398	0.147116	0.169606	
attraction	0.132110	0.204668	0.107438	0.125849	0.086931	0.082004	0.129928	0.110887	0.091464	0.168637	0.144029	0.127219	0.131689	0.104686	0.094991	0.140645	1.000000	0.112446	0.120371	0.123245	0.153918	0.112661	0.147494	0.123605	0.086243	0.123324	0.130100	0.137258	0.130793	0.141367	0.083693	0.113986	0.105201	0.089055	0.107433	0.097909	0.116789	0.100175	0.136566	0.069732	0.134262	0.129185	0.092636	0.106919	0.147044	0.148596	0.153283	0.124358	0.159600	0.083900	0.164755	0.098128	0.086511	0.081274	0.077562	0.106151	0.051656	0.150406	0.057561	0.110752	0.133410	0.122026	0.152990	0.108051	0.164247	0.130947	0.095249	0.104573	0.110575	0.168305	0.098605	0.204977	0.125801	0.122917	0.142832	0.109805	0.105106	0.150635	0.054997	0.094549	0.128919	0.091772	0.212439	0.097907	0.121373	0.255167	0.166425	0.108717	0.109417	0.084324	0.111008	0.113287	0.140526	0.126036	0.083155	0.197799	0.107512	0.098148	0.119971	0.126596	0.081725	0.126660	0.114252	0.142476	0.128816	0.158870	0.121549	0.149572	0.112123	0.092021	0.125617	0.128056	0.136938	0.150072	0.127133	0.135542	0.127175	0.162946	0.098686	0.085055	0.121975	0.140396	0.118656	0.073922	0.094512	0.095443	0.093254	0.148593	0.132038	0.069184	0.088925	0.151910	
aversion	0.084456	0.086471	0.095779	0.084123	0.071861	0.048499	0.083963	0.073230	0.096487	0.140726	0.091983	0.093683	0.100651	0.096770	0.093371	0.062498	0.112446	1.000000	0.082635	0.047571	0.065252	0.108653	0.121104	0.066958	0.183800	0.068952	0.081528	0.175771	0.123111	0.074786	0.108438	0.193469	0.102494	0.116632	0.062168	0.088030	0.068579	0.054955	0.101364	0.057435	0.082174	0.087238	0.067382	0.072060	0.088233	0.099742	0.180817	0.082486	0.088315	0.112403	0.084903	0.071007	0.063799	0.063635	0.039391	0.071100	0.048645	0.073897	0.051349	0.081146	0.085039	0.078001	0.144517	0.071277	0.072913	0.093119	0.078419	0.091276	0.081224	0.094202	0.061628	0.102396	0.089874	0.073222	0.091949	0.079591	0.060221	0.076411	0.032859	0.065530	0.123979	0.055805	0.089946	0.125050	0.074232	0.113571	0.100568	0.039872	0.074028	0.048830	0.082178	0.064085	0.087516	0.066692	0.055945	0.098059	0.068563	0.113588	0.063591	0.105901	0.037796	0.065070	0.090544	0.065775	0.080096	0.098221	0.140817	0.114982	0.067014	0.073753	0.074801	0.084102	0.090274	0.087411	0.073771	0.100241	0.060415	0.073731	0.056884	0.063677	0.053273	0.071666	0.057225	0.065859	0.070596	0.085811	0.062279	0.090131	0.075275	0.061314	0.054682	0.080327	
bitterness	0.159618	0.136752	0.099825	0.155587	0.114684	0.080019	0.118560	0.134533	0.149906	0.255017	0.179617	0.189467	0.142343	0.123524	0.139249	0.134283	0.120371	0.082635	1.000000	0.058333	0.160656	0.154756	0.129569	0.114075	0.162759	0.136518	0.123976	0.118140	0.164036	0.160828	0.121599	0.145923	0.175146	0.142118	0.102162	0.097682	0.140685	0.084986	0.137952	0.125899	0.134042	0.144481	0.104718	0.190352	0.149801	0.169070	0.140859	0.204862	0.093043	0.110362	0.192826	0.156833	0.107332	0.131698	0.057180	0.114771	0.064905	0.121254	0.094104	0.126130	0.230036	0.121006	0.147793	0.112001	0.106311	0.141821	0.094751	0.210359	0.148120	0.194220	0.094914	0.093719	0.137415	0.141927	0.132136	0.144697	0.119134	0.109256	0.064226	0.127094	0.171108	0.109274	0.090164	0.180046	0.120233	0.107411	0.129922	0.089687	0.122566	0.101282	0.144610	0.109248	0.174616	0.134787	0.079118	0.139266	0.128015	0.142789	0.212146	0.170163	0.084975	0.130366	0.103731	0.143629	0.167968	0.364824	0.205698	0.172288	0.106780	0.185690	0.162241	0.156690	0.154859	0.219230	0.120353	0.167933	0.114968	0.167142	0.124511	0.096190	0.115206	0.136940	0.104799	0.088237	0.160873	0.299804	0.100932	0.123488	0.096844	0.215630	0.090300	0.148502	
bliss   	0.067566	0.094103	0.073517	0.060171	0.095402	0.082825	0.130702	0.105011	0.092497	0.075286	0.095969	0.076539	0.122547	0.081394	0.054124	0.136798	0.123245	0.047571	0.058333	1.000000	0.094454	0.070432	0.147698	0.083432	0.048349	0.134753	0.119187	0.101585	0.082748	0.096395	0.066125	0.090620	0.051113	0.070652	0.157593	0.105490	0.100079	0.082679	0.223573	0.031727	0.125320	0.125807	0.125925	0.068393	0.153931	0.114090	0.085856	0.072693	0.056797	0.075990	0.113657	0.111125	0.118476	0.043114	0.062910	0.099182	0.067123	0.067568	0.030505	0.061729	0.118537	0.073025	0.136481	0.060575	0.134815	0.104128	0.046263	0.039750	0.068315	0.064808	0.071893	0.080281	0.079690	0.077163	0.097814	0.092837	0.093399	0.098308	0.109203	0.074368	0.080156	0.090617	0.060600	0.092308	0.104843	0.164965	0.133187	0.160050	0.085492	0.104868	0.036655	0.078505	0.161576	0.075601	0.035145	0.131057	0.112191	0.044552	0.104226	0.119017	0.130493	0.071248	0.065190	0.094565	0.064389	0.078096	0.046263	0.124764	0.056595	0.083996	0.061782	0.182449	0.113160	0.086727	0.113579	0.088841	0.068151	0.125161	0.045677	0.081345	0.157124	0.087403	0.156269	0.050878	0.077521	0.094443	0.060069	0.163627	0.092817	0.073730	0.081747	0.093155	
compassion	0.150383	0.146242	0.164467	0.151226	0.109057	0.122246	0.169695	0.146822	0.138044	0.154415	0.193124	0.149646	0.147872	0.098771	0.125634	0.204625	0.153918	0.065252	0.160656	0.094454	1.000000	0.143194	0.215113	0.140152	0.137377	0.153353	0.116670	0.135394	0.136655	0.161576	0.083655	0.159511	0.131325	0.111452	0.141817	0.139890	0.180677	0.137123	0.158643	0.103872	0.171948	0.172021	0.180669	0.142690	0.154061	0.180102	0.120507	0.133324	0.191394	0.099614	0.165659	0.153640	0.148713	0.128006	0.093614	0.188266	0.104687	0.126086	0.079984	0.132303	0.125003	0.178377	0.154068	0.089185	0.173525	0.137219	0.086358	0.124408	0.114938	0.192043	0.107676	0.160893	0.155435	0.168742	0.160908	0.162731	0.134070	0.145317	0.103429	0.105711	0.175452	0.145711	0.195352	0.170713	0.163120	0.219352	0.200337	0.221578	0.123790	0.165632	0.097779	0.126972	0.135023	0.153057	0.069765	0.179222	0.172480	0.117591	0.122160	0.176155	0.193470	0.117681	0.131297	0.136446	0.123020	0.164054	0.160866	0.221507	0.107078	0.125061	0.126998	0.221278	0.208979	0.144602	0.173186	0.162873	0.192455	0.233586	0.121077	0.132660	0.206453	0.170787	0.139467	0.098903	0.164768	0.190687	0.116555	0.169661	0.129258	0.103031	0.153068	0.163385	
contempt	0.165041	0.125853	0.098928	0.163015	0.103286	0.075141	0.129937	0.114160	0.201057	0.189082	0.156883	0.167302	0.161811	0.129952	0.127898	0.118039	0.112661	0.108653	0.154756	0.070432	0.143194	1.000000	0.122291	0.117096	0.168415	0.127250	0.120236	0.122506	0.141809	0.144612	0.390906	0.165348	0.165050	0.127172	0.122444	0.104532	0.118966	0.078404	0.172666	0.151416	0.131729	0.155126	0.087796	0.156331	0.133373	0.163001	0.224697	0.137404	0.084422	0.155878	0.131285	0.105480	0.108090	0.137776	0.042644	0.115297	0.069846	0.114443	0.075975	0.110074	0.130091	0.183033	0.143352	0.085528	0.098300	0.176032	0.093068	0.144724	0.131204	0.152067	0.085550	0.087907	0.122204	0.125027	0.187009	0.110796	0.111767	0.145153	0.053539	0.115908	0.210805	0.109978	0.089528	0.230214	0.105850	0.120285	0.112826	0.074450	0.109883	0.093323	0.140052	0.100865	0.147780	0.095108	0.075694	0.137480	0.115317	0.119540	0.158718	0.136197	0.074742	0.099427	0.162379	0.093212	0.121743	0.189010	0.279658	0.234114	0.102390	0.207978	0.184628	0.128678	0.140544	0.166516	0.130528	0.240296	0.115117	0.143037	0.126704	0.097823	0.097821	0.168087	0.105402	0.098201	0.125138	0.185500	0.101225	0.126252	0.100376	0.104502	0.075551	0.121663	
courage 	0.164646	0.139949	0.159003	0.139272	0.110269	0.143135	0.236533	0.158078	0.138457	0.139583	0.213958	0.133883	0.161257	0.125909	0.137674	0.214417	0.147494	0.121104	0.129569	0.147698	0.215113	0.122291	1.000000	0.132647	0.151991	0.166962	0.119173	0.139607	0.137142	0.168896	0.108364	0.189954	0.132979	0.109411	0.165426	0.164742	0.187494	0.166398	0.212461	0.092124	0.185111	0.188219	0.218914	0.130285	0.164839	0.179447	0.223367	0.133438	0.118728	0.163157	0.177487	0.157657	0.167335	0.113441	0.123554	0.209009	0.130825	0.113422	0.074033	0.124199	0.155827	0.158685	0.167403	0.099434	0.216275	0.129647	0.101603	0.099251	0.140795	0.170733	0.117882	0.138559	0.164822	0.159667	0.160087	0.174474	0.149725	0.126766	0.141780	0.122685	0.224638	0.137706	0.135397	0.188738	0.175460	0.204389	0.172895	0.277165	0.136787	0.211245	0.088550	0.120863	0.143742	0.147892	0.074431	0.200466	0.143179	0.112091	0.142918	0.202618	0.248839	0.131506	0.133310	0.145519	0.141390	0.163227	0.135868	0.255036	0.107412	0.147119	0.147207	0.270010	0.243885	0.225632	0.154428	0.181264	0.134691	0.207888	0.107567	0.115566	0.259076	0.173493	0.159326	0.102834	0.149564	0.187078	0.122431	0.210115	0.161789	0.106567	0.140855	0.167785	
defeat  	0.132493	0.123304	0.098242	0.148576	0.084013	0.152849	0.129899	0.133805	0.100362	0.140874	0.163415	0.121753	0.117608	0.099508	0.142360	0.161601	0.123605	0.066958	0.114075	0.083432	0.140152	0.117096	0.132647	1.000000	0.229408	0.148590	0.110985	0.131316	0.131583	0.145548	0.078717	0.114317	0.137535	0.084154	0.115466	0.107399	0.131357	0.089163	0.131573	0.122004	0.132580	0.122203	0.129753	0.115477	0.151408	0.160802	0.115194	0.116223	0.089848	0.092102	0.159773	0.113195	0.083663	0.107146	0.064215	0.127750	0.068975	0.130905	0.080025	0.129650	0.115284	0.125007	0.132530	0.176866	0.153053	0.150088	0.087061	0.114540	0.192747	0.166235	0.093622	0.101025	0.209206	0.231618	0.129521	0.109788	0.174333	0.121931	0.064491	0.086233	0.138386	0.126505	0.093729	0.134114	0.168480	0.123632	0.132273	0.127647	0.118145	0.122606	0.161050	0.113615	0.112488	0.127182	0.063131	0.156400	0.080779	0.101296	0.109163	0.123908	0.105819	0.108081	0.161944	0.115672	0.104223	0.143633	0.114543	0.173194	0.099585	0.109148	0.105873	0.165324	0.146306	0.119058	0.148943	0.142874	0.121264	0.137396	0.116935	0.116591	0.132199	0.153788	0.136872	0.093220	0.137089	0.139780	0.093955	0.141972	0.135326	0.085528	0.081631	0.156788	
dejection	0.159116	0.170581	0.120735	0.217755	0.132083	0.093502	0.148201	0.192445	0.199631	0.163055	0.243451	0.185759	0.178345	0.115452	0.194819	0.152127	0.086243	0.183800	0.162759	0.048349	0.137377	0.168415	0.151991	0.229408	1.000000	0.158186	0.169218	0.130629	0.269416	0.172998	0.131486	0.146470	0.221090	0.160543	0.132453	0.124718	0.182573	0.085965	0.161748	0.177167	0.155311	0.133225	0.151420	0.191851	0.176473	0.231495	0.134531	0.159792	0.132065	0.120151	0.161938	0.127353	0.153276	0.198201	0.048554	0.288771	0.183845	0.153579	0.132171	0.168101	0.110062	0.151736	0.156721	0.193017	0.139357	0.231608	0.090984	0.158096	0.228079	0.182212	0.090497	0.092368	0.256165	0.247613	0.155529	0.160058	0.160089	0.095615	0.083903	0.158586	0.261635	0.122537	0.120554	0.183733	0.207260	0.101056	0.147726	0.150074	0.175733	0.156793	0.197084	0.122486	0.132410	0.107140	0.056528	0.133215	0.106717	0.189599	0.114933	0.151819	0.135153	0.090885	0.215077	0.128185	0.215403	0.145833	0.201027	0.294090	0.108544	0.143907	0.144801	0.197752	0.194870	0.152673	0.137914	0.245171	0.182930	0.191136	0.162458	0.123547	0.148527	0.169966	0.113316	0.102586	0.226026	0.204295	0.192820	0.140980	0.104529	0.125962	0.090553	0.172067	
delight 	0.117271	0.167110	0.103814	0.155863	0.147775	0.103473	0.165670	0.121160	0.166930	0.119063	0.180606	0.163186	0.173074	0.105258	0.146717	0.161980	0.123324	0.068952	0.136518	0.134753	0.153353	0.127250	0.166962	0.148590	0.158186	1.000000	0.108369	0.143527	0.163558	0.144514	0.095053	0.141001	0.158856	0.151628	0.143982	0.122769	0.193136	0.154363	0.259552	0.083070	0.194910	0.132932	0.148209	0.159131	0.181304	0.212683	0.120582	0.152068	0.121677	0.116603	0.154189	0.132564	0.298178	0.298231	0.106289	0.171317	0.095158	0.102087	0.086689	0.123472	0.111570	0.166038	0.145507	0.080979	0.170626	0.136446	0.078491	0.121240	0.110962	0.142673	0.094878	0.113761	0.131425	0.147143	0.169258	0.134936	0.132858	0.102073	0.284494	0.262494	0.237543	0.238930	0.114634	0.132895	0.119824	0.128062	0.151897	0.155980	0.130300	0.152629	0.095166	0.105019	0.181251	0.118808	0.057724	0.154683	0.103578	0.192056	0.107297	0.146426	0.199293	0.093667	0.103260	0.123963	0.117399	0.125610	0.156429	0.193662	0.143985	0.118575	0.107967	0.189990	0.191223	0.147523	0.125328	0.157720	0.108536	0.175025	0.129517	0.115367	0.191711	0.165604	0.159386	0.090858	0.144637	0.144789	0.120983	0.158259	0.113086	0.103892	0.124041	0.182324	
depression	0.136177	0.093868	0.088180	0.111281	0.083271	0.073906	0.119183	0.145388	0.088703	0.226143	0.143844	0.123912	0.113208	0.236669	0.106584	0.118963	0.130100	0.081528	0.123976	0.119187	0.116670	0.120236	0.119173	0.110985	0.169218	0.108369	1.000000	0.122520	0.137694	0.174382	0.102651	0.108734	0.114609	0.107040	0.158067	0.110040	0.093826	0.121698	0.146493	0.098827	0.105676	0.130585	0.130890	0.093981	0.128788	0.148991	0.130764	0.091950	0.070882	0.093098	0.153300	0.114688	0.075516	0.070008	0.057167	0.178024	0.141608	0.158446	0.109020	0.123283	0.136450	0.131828	0.119940	0.108059	0.138670	0.216010	0.088561	0.132223	0.096631	0.154943	0.083607	0.096595	0.125499	0.119665	0.109871	0.128534	0.089116	0.124349	0.051836	0.177525	0.108879	0.081405	0.090654	0.107343	0.116406	0.123310	0.109238	0.109080	0.148210	0.087166	0.113819	0.114311	0.125298	0.122403	0.149564	0.169139	0.098334	0.091010	0.096330	0.144424	0.075318	0.114857	0.089785	0.155149	0.097719	0.159653	0.116349	0.167568	0.090773	0.097063	0.134658	0.183134	0.123493	0.134925	0.128214	0.119460	0.105055	0.102201	0.099018	0.088636	0.095386	0.108235	0.107487	0.099303	0.140385	0.108751	0.107103	0.126296	0.114310	0.105133	0.071768	0.115665	
desire  	0.128579	0.140720	0.126768	0.129156	0.115130	0.095082	0.139658	0.108879	0.106078	0.132303	0.145413	0.119382	0.137179	0.110524	0.118577	0.142264	0.137258	0.175771	0.118140	0.101585	0.135394	0.122506	0.139607	0.131316	0.130629	0.143527	0.122520	1.000000	0.130241	0.132197	0.086449	0.168880	0.137045	0.120436	0.107235	0.135314	0.135497	0.099669	0.152531	0.081363	0.160640	0.148199	0.106179	0.120117	0.143864	0.175224	0.124485	0.136958	0.147196	0.092314	0.160193	0.119479	0.092391	0.095486	0.060736	0.120425	0.063819	0.112982	0.092406	0.114127	0.113045	0.125461	0.196345	0.092570	0.143143	0.129047	0.087163	0.117672	0.100520	0.154426	0.088531	0.206453	0.140132	0.133060	0.160667	0.114775	0.105467	0.139872	0.057770	0.080831	0.153735	0.104246	0.109770	0.125552	0.128984	0.190436	0.228975	0.123077	0.111081	0.098819	0.107722	0.106855	0.121446	0.111211	0.059162	0.198323	0.117764	0.111808	0.108783	0.145338	0.114314	0.128862	0.109712	0.106227	0.117294	0.141873	0.143623	0.146026	0.127347	0.114365	0.111152	0.143367	0.147734	0.147698	0.144274	0.121716	0.110155	0.159915	0.116560	0.096827	0.130526	0.153341	0.136160	0.086181	0.120893	0.123461	0.094615	0.150439	0.116972	0.092288	0.126076	0.139336	
despair 	0.126119	0.166233	0.108831	0.151118	0.138743	0.120960	0.134472	0.112055	0.136645	0.158528	0.285442	0.165895	0.166473	0.102039	0.188259	0.128844	0.130793	0.123111	0.164036	0.082748	0.136655	0.141809	0.137142	0.131583	0.269416	0.163558	0.137694	0.130241	1.000000	0.188111	0.102228	0.152048	0.199941	0.157655	0.092273	0.122877	0.159957	0.107946	0.162563	0.089717	0.163683	0.147550	0.125191	0.162935	0.176793	0.213133	0.159307	0.173917	0.106274	0.131947	0.164240	0.130700	0.137989	0.130065	0.043663	0.230028	0.215684	0.179080	0.099060	0.139336	0.132283	0.113558	0.159226	0.104022	0.216793	0.221704	0.082351	0.138097	0.156002	0.181904	0.106522	0.126382	0.159419	0.123218	0.165042	0.116880	0.131964	0.125496	0.049375	0.116330	0.163919	0.129226	0.108268	0.134373	0.153508	0.156535	0.143249	0.107150	0.125900	0.093033	0.142310	0.113859	0.139351	0.118015	0.092375	0.150299	0.102352	0.122477	0.103527	0.139337	0.095793	0.096092	0.117433	0.129809	0.138743	0.208625	0.189129	0.207353	0.109881	0.108694	0.117216	0.142506	0.180358	0.177792	0.148483	0.172069	0.124163	0.151412	0.132047	0.102336	0.143704	0.156553	0.153908	0.097189	0.187387	0.144362	0.167136	0.131018	0.109103	0.092663	0.089522	0.150002	
disappointment	0.138781	0.120873	0.130421	0.146503	0.091906	0.098514	0.155060	0.140229	0.118105	0.179512	0.221607	0.157077	0.142270	0.118879	0.134706	0.167562	0.141367	0.074786	0.160828	0.096395	0.161576	0.144612	0.168896	0.145548	0.172998	0.144514	0.174382	0.132197	0.188111	1.000000	0.128154	0.163166	0.316313	0.191195	0.135114	0.124887	0.161281	0.149240	0.162547	0.143800	0.151666	0.178793	0.163643	0.135657	0.161141	0.185402	0.132065	0.121465	0.103506	0.101001	0.240971	0.130991	0.110190	0.100736	0.084593	0.174971	0.143542	0.205953	0.108061	0.146073	0.145028	0.145444	0.135363	0.122139	0.174714	0.171354	0.098976	0.108404	0.136192	0.215318	0.096943	0.132539	0.159152	0.167296	0.152123	0.150538	0.124697	0.138443	0.077947	0.102166	0.160022	0.104376	0.120507	0.140955	0.152496	0.144567	0.140406	0.226442	0.255588	0.156851	0.142294	0.109431	0.125432	0.131282	0.079391	0.176398	0.095475	0.107753	0.125008	0.161500	0.162385	0.207561	0.108033	0.157984	0.137319	0.170607	0.143167	0.225731	0.131705	0.131955	0.161230	0.213923	0.224387	0.127485	0.146605	0.172266	0.139198	0.165351	0.108593	0.106376	0.179228	0.168653	0.126068	0.096131	0.161419	0.164714	0.260664	0.177862	0.132893	0.117148	0.108910	0.171855	
